Auberginensalat mit geräucherten Mandeln und Ziegenkäse,Salade d'aubergines aux amandes fumé et fromage de chèvre,Eggplant salad with smoked almonds and goat cheese
Baumnuss und Gorgonzola Zucchini,Noyer et gorgonzola courgettes,Walnut and Gorgonzola Zucchini
Broccoli Käse Gratin,Brocolis fromage,Broccoli Cheese Gratin
Broccoli Sesam Nudeln,Brocoli nouilles au sésame,Broccoli Sesame Noodles
Buendner Paella,Buendner Paella,Buendner paella
Chaeshoernli Mit Apfelmus,Chaeshoernli avec la compote de pommes,Chaeshoernli with applesauce
Couscous mit Kefen und Erbsen,Couscous aux petits pois et les pois de sucre,Couscous with snow peas and peas
Couscous mit marrokanischer Sauce,Couscous à la sauce marocaine,Couscous with Moroccan sauce
Einfache Käse Enchiladas,Enchiladas au fromage simple,Easy Cheese Enchiladas
Einfaches Lo Mein,Simple Lo Mein,Simple Lo Mein
Fettuchine mit Spargeln und Ziegenkäse,Fettuchine au fromage de chèvre et les asperges,Fettuchine with asparagus and goat cheese
Feurig geröstete Kartoffeln,Pommes de terre rôties Fiery,Fiery roasted potatoes
Frittierter Tofu pfannengerührt,Fried Bean Curd Stir,Deep fried tofu stir-fried
Gebackenes Getreiderisotto,Baked maïs risotto,Baked corn risotto
Gebratene Zucchetti mit Zwiebeln,Courgettes frites avec l'oignon,Fried zucchini with onions
Feta und Basilikum,Féta et basilic,Feta and basil
Gebratener Rosenkohl mit Spätzle,Bruxelles rôtis choux avec spaetzle,Roasted brussels sprouts with noodles
Gebratenes Butternut Spinat Curry,Rôti Butternut épinards au curry,Roasted Butternut spinach curry
Gedünsteter Broccoli mit Orange und Parmesan,Le brocoli cuit à la vapeur avec Orange et parmesan,Steamed Broccoli with Orange and Parmesan
Gefüllte Auberginen mit Aprikosen,Aubergines farcies aux abricots,Stuffed eggplant with apricots
Gemüsecalzone mit Karottendip,Gemüsecalzone avec Karottendip,Gemüsecalzone with Karottendip
Gerösteter Rosenkohl mit Cranberry-Pistache-Pesto,Choux de Bruxelles rôtis avec canneberges et pistaches pesto,Roasted Brussels sprouts with cranberry pistachio pesto
Herbstliche Gemüsesuppe,Soupe aux légumes d'automne,Autumn Vegetable Soup
Israelischer Salat,Salade israélienne,Israeli salad
Knusprige Parmesan-Kräuter Zucchini,Croustillant de parmesan Herb Zucchini,Crispy Parmesan Herb Zucchini
Krautstiel-Rouladen,Roulades Krautstiel,Krautstiel roulades
Mangold Haselnuss Lasagne,Mangold Noisette Lasagne,Mangold Hazelnut Lasagne
Mangold mit Knoblauch und Oregano,Bette à carde avec ail et l'origan,Swiss chard with garlic and oregano
Mangold,Chard,chard
Fenchel,Fenouil,fennel
Bohnen Auflauf,Bean Casserole,bean casserole
Marokkanische Karotten,Carotte marocaine,Moroccan carrot
Mediterraner Getreidesalat,Céréales Salade méditerranéenne,Mediterranean salad crops
mit Pfeffer und Käse überbackene Kartoffeln,avec poivre et le fromage gratin dauphinois,with pepper and cheese scalloped potatoes
Ordentliche Käsespätzle mit Schnittlauch,Käsespätzle ordinaire avec de la ciboulette,Ordinary cheese noodles with chives
Orientalischer Reis mit Cashewnüssen,Riz oriental avec des noix de cajou,Oriental rice with cashew nuts
Pasta mit Cashew & Sesampesto,Pâtes au pesto de noix de cajou et de sésame,Pasta with pesto Sesame Cashew &
Pasta mit Frühlingsgemüse-Rahm-Sauce,Pâtes à la sauce légumes de printemps à la crème,Pasta with Spring Vegetables cream sauce
Pasta mit Wirsing & Kresse,Pâtes avec chou et cresson,Pasta with cabbage and cress
Pesto überbackene Rigatoni,Pesto rigatoni cuits,Pesto baked rigatoni
Pilz-Pappardelle mit Taleggio Käse,Mushroom Pappardelle avec du fromage Taleggio,Mushroom Pappardelle with Taleggio cheese
Pizza orientale mit Feige,Pizza orientale avec la figure,Pizza orientale with fig
Quinoa-Bohnen Burger mit Avocado,Quinoa Burger de haricots avec de l'avocat,Quinoa bean burger with avocado
Rahm Zucchini mit Tessiner Polenta,Rahm courgettes avec Tessin polenta,Rahm zucchini with Ticino polenta
Randen Risotto mit Petersilienpesto,Risotto au persil pesto Randen,Randen risotto with parsley pesto
Ratatouille mit Ziegenkäse und Basilikum,Ratatouille au fromage de chèvre et au basilic,Ratatouille with goat cheese and basil
Risoni mit Butternuss,Risoni avec butternut,Risoni with butternut
Spinat und Blauschimmelkäse,Épinards et fromage bleu,Spinach and blue cheese
Rustikale Rotwein-Nuss-Sauce mit Topinambur an Bandnudeln,Sauce aux noix rouge rustique avec artichaut sur fettucine,Rustic red nut sauce with Jerusalem artichoke on fettuccine
Salat-Wrap mit Curry-Tofu und Kokos-Chutney,Enveloppement Salade de tofu au curry et noix de coco chutney,Salad wrap with curried tofu and coconut chutney
Sautierte Zucchini und Cherry-Tomaten,Courgettes et tomates cerises sautées,Sauteed zucchini and cherry tomatoes
Schwarzbohnen Burger mit Mango Dip,Noir Burgers Bean trempette à la mangue,Black Bean Burgers with Mango Dip
Schweizer Gemüse Auflauf,Cocotte de légumes suisse,Swiss vegetable casserole
Spaghetti mit Bärlauchpesto,Spaghetti à l'ail des ours pesto,Spaghetti with wild garlic pesto
Spaghetti mit Cherrytomaten und Basilikum,Spaghettis aux tomates cerises et basilic,Spaghetti with cherry tomatoes and basil
Spaghetti mit Federkohl und Zitrone,Spaghetti aux choux de printemps et de citron,Spaghetti with spring cabbage and lemon
Spargel,Asperges,asparagus
Ziegenkäse und Zitronen Pasta,Le fromage de chèvre et les pâtes de citron,Goat cheese and lemon pasta
Spinat Käse Omelette,Épinards omelette au fromage,Spinach Cheese Omelettes
